用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
B25513,2017#8#26,男,27,高中/中专,山西省,大同市,华为应用商店,剑士,青铜,2019/7/15
B48039,2017#10#1,男,17,大专,江苏省,徐州市,vivo应用商店,剑士,青铜,2017/11/2
B24384,2018/5/1,男,33,本科,云南省,玉溪市,vivo应用商店,剑士,青铜,2018/11/16
B47955,2018/12/27,男,24,博士及以上,重庆市,重庆市,华为应用商店,法师,青铜,2019/3/20
B36125,2017#7#22,女,16,大专,甘肃省,天水市,小米应用商店,法师,青铜,2017/9/9
B49364,2017#9#30,男,23,大专,重庆市,重庆市,APP Store,剑士,青铜,2018/2/18
B25860,2017#11#9,女,26,初中及以下,河北省,承德市,oppo应用商店,法师,青铜,2019/3/9
B34875,2018/2/19,男,39,大专,湖南省,衡阳市,应用宝,刺客,青铜,2018/5/2
B22072,2018/6/2,男,22,大专,广东省,东莞市,华为应用商店,法师,青铜,2019/2/23
B23789,2018/11/21,男,32,高中/中专,海南省,海南省直辖,oppo应用商店,刺客,青铜,2019/6/20
B50595,2018/12/5,男,28,本科,山东省,日照市,vivo应用商店,法师,青铜,2019/6/7
B45841,2019/6/18,男,22,本科,辽宁省,丹东市,oppo应用商店,法师,青铜,2019/7/4
B37250,2018/10/24,男,13,初中及以下,四川省,凉山彝族自治州,小米应用商店,法师,青铜,2019/8/22
B34030,2018/9/12,男,33,大专,河南省,平顶山市,vivo应用商店,刺客,青铜,2019/8/6
B43287,2019/5/7,男,38,高中/中专,湖南省,长沙市,华为应用商店,剑士,青铜,2019/6/3
B27236,2017#8#14,男,36,硕士,辽宁省,沈阳市,APP Store,剑士,青铜,2018/11/2
B34272,2018/8/26,男,33,大专,山东省,菏泽市,oppo应用商店,刺客,青铜,2019/1/23
B35329,2017#7#5,女,19,大专,四川省,南充市,APP Store,刺客,青铜,2019/5/16
B47466,2018/7/18,女,30,本科,河北省,承德市,oppo应用商店,剑士,青铜,2019/6/30
B49790,2018/12/24,男,28,大专,广西壮族自治区,北海市,oppo应用商店,刺客,青铜,2019/5/21
B48425,2018/3/12,男,20,大专,四川省,南充市,vivo应用商店,法师,青铜,2019/10/24
B49021,2018/12/27,女,28,本科,内蒙古自治区,包头市,华为应用商店,剑士,青铜,2019/3/17
B25225,2017#12#29,男,35,高中/中专,四川省,绵阳市,应用宝,刺客,青铜,2018/2/15
B38055,2018/1/17,男,23,高中/中专,安徽省,淮南市,oppo应用商店,刺客,青铜,2018/9/5
B49726,2017#9#29,男,29,本科,江苏省,无锡市,小米应用商店,法师,青铜,2018/2/5
B37884,2018/1/19,男,31,硕士,上海市,上海市,oppo应用商店,剑士,青铜,2018/7/17
B41478,2017#10#27,男,27,本科,山西省,阳泉市,华为应用商店,法师,白银,2019/5/4
B42537,2018/3/22,男,21,大专,湖南省,郴州市,应用宝,刺客,青铜,2018/12/21
B25725,2019/5/6,女,22,大专,内蒙古自治区,鄂尔多斯市,应用宝,剑士,青铜,2019/7/19
B51312,2018/8/5,男,14,初中及以下,浙江省,杭州市,华为应用商店,法师,白银,2018/11/8
B34152,2018/5/4,男,33,博士及以上,上海市,上海市,小米应用商店,法师,青铜,2019/5/16
B44309,2019/5/10,男,23,大专,湖北省,武汉市,oppo应用商店,剑士,青铜,2019/5/24
B22603,2018/8/20,男,15,初中及以下,浙江省,杭州市,小米应用商店,法师,青铜,2019/5/12
B26731,2018/2/16,男,31,本科,江苏省,扬州市,应用宝,法师,青铜,2018/9/30
B44460,2018/9/12,男,16,大专,北京市,北京市,小米应用商店,刺客,青铜,2018/9/12
B31076,2018/6/15,男,17,大专,广东省,广州市,oppo应用商店,法师,青铜,2019/5/11
B34644,2018/1/11,女,24,大专,浙江省,绍兴市,应用宝,刺客,白银,2018/3/13
B50844,2019/3/3,男,27,大专,广西壮族自治区,南宁市,APP Store,法师,青铜,2019/5/31
B40654,2017#8#8,女,37,大专,重庆市,重庆市,小米应用商店,剑士,青铜,2019/6/17
B46748,2018/8/21,男,21,高中/中专,重庆市,重庆市,应用宝,法师,青铜,2019/10/17
B32637,2018/12/10,男,16,高中/中专,北京市,北京市,小米应用商店,法师,青铜,2019/7/13
B43581,2018/9/27,男,13,初中及以下,重庆市,重庆市,APP Store,法师,青铜,2019/6/3
B36588,2019/2/1,男,30,高中/中专,新疆维吾尔自治区,巴音郭楞州,vivo应用商店,刺客,青铜,2019/2/3
B32959,2017#9#27,男,16,大专,黑龙江省,齐齐哈尔市,oppo应用商店,法师,青铜,2018/12/30
B26290,2017#7#26,男,20,大专,广西壮族自治区,玉林市,华为应用商店,法师,黄金,2019/11/3
B32269,2018/6/17,男,13,初中及以下,江苏省,南通市,华为应用商店,法师,青铜,2018/10/31
B25276,2017#11#16,女,13,初中及以下,江苏省,南通市,华为应用商店,剑士,青铜,2019/4/26
B52103,2017#8#13,女,23,本科,江西省,南昌市,华为应用商店,法师,青铜,2018/4/7
B38525,2018/4/20,男,27,大专,广东省,东莞市,APP Store,剑士,青铜,2019/3/4
B32642,2017#10#9,女,23,硕士,江苏省,常州市,vivo应用商店,剑士,青铜,2018/9/6
B27155,2017#8#19,男,23,本科,吉林省,长春市,应用宝,刺客,青铜,2019/5/4
B23614,2018/9/15,男,40,初中及以下,广东省,佛山市,华为应用商店,法师,青铜,2018/12/18
B28785,2017#8#4,男,24,本科,北京市,北京市,vivo应用商店,剑士,白银,2018/11/17
B21943,2017#11#1,男,24,本科,山西省,临汾市,华为应用商店,法师,青铜,2019/6/2
B42100,2017#9#11,男,19,高中/中专,湖南省,湘西土家族苗族自治州,APP Store,法师,青铜,2018/1/25
B39224,2017#9#17,男,32,本科,山东省,威海市,oppo应用商店,法师,青铜,2018/10/5
B32736,2018/4/20,女,39,硕士,安徽省,合肥市,应用宝,刺客,青铜,2018/7/14
B40543,2018/5/10,女,23,本科,江苏省,南京市,vivo应用商店,法师,青铜,2019/4/19
B32033,2017#10#27,男,20,本科,浙江省,杭州市,vivo应用商店,法师,青铜,2018/10/3
B26240,2017#12#12,男,27,大专,浙江省,杭州市,oppo应用商店,法师,白银,2019/9/11
B27724,2018/10/10,男,30,大专,上海市,上海市,APP Store,法师,青铜,2019/10/31
B26373,2019/5/6,女,25,大专,江苏省,南京市,应用宝,剑士,青铜,2019/5/22
B24210,2017#10#17,女,36,高中/中专,广东省,广州市,华为应用商店,法师,青铜,2019/6/22
B26990,2018/12/4,男性,17,大专,江苏省,无锡市,应用宝,刺客,青铜,2019/9/22
B33515,2018/6/24,男性,19,大专,福建省,宁德市,oppo应用商店,法师,青铜,2018/8/19
B50141,2019/4/14,女,27,初中及以下,江苏省,扬州市,华为应用商店,法师,白银,2019/5/13
B28988,2017#11#23,女,17,初中及以下,广东省,东莞市,vivo应用商店,剑士,青铜,2018/9/20
B46088,2019/6/15,女,18,初中及以下,江苏省,泰州市,华为应用商店,剑士,青铜,2019/7/7
B29068,2018/4/20,男性,36,高中/中专,江苏省,镇江市,应用宝,刺客,青铜,2019/10/6
B30965,2017#12#30,女,13,初中及以下,江苏省,无锡市,APP Store,法师,青铜,2019/2/28
B30078,2018/8/26,女,22,高中/中专,安徽省,安庆市,应用宝,剑士,青铜,2019/5/10
B45352,2018/1/1,男性,26,本科,江苏省,苏州市,应用宝,刺客,青铜,2018/7/14
B45290,2018/3/8,女,28,初中及以下,河北省,保定市,华为应用商店,刺客,青铜,2018/9/10
B41878,2019/4/7,男性,28,大专,浙江省,嘉兴市,华为应用商店,剑士,青铜,2019/6/16
B38505,2018/10/10,男性,27,初中及以下,重庆市,重庆市,APP Store,法师,青铜,2019/6/8
B35255,2017#8#23,女,29,大专,江西省,上饶市,应用宝,法师,青铜,2017/12/17
B37139,2017#11#16,女,28,本科,江西省,九江市,应用宝,法师,青铜,2019/9/14
B44496,2019/2/1,男性,18,高中/中专,湖南省,郴州市,其他,法师,青铜,2019/3/31
B28474,2018/1/1,男性,14,初中及以下,广东省,珠海市,APP Store,刺客,白银,2018/6/28
B22190,2017#10#5,男性,13,初中及以下,四川省,泸州市,华为应用商店,刺客,青铜,2018/1/29
B32862,2017#12#31,男性,19,高中/中专,江苏省,常州市,应用宝,刺客,青铜,2019/1/25
B39263,2018/6/24,女,29,大专,上海市,上海市,华为应用商店,刺客,青铜,2018/7/29
B41197,2018/2/15,女,21,高中/中专,云南省,普洱市,华为应用商店,法师,白银,2018/12/26
B23871,2019/4/12,男性,28,本科,上海市,上海市,vivo应用商店,法师,青铜,2019/6/23
B36637,2019/2/5,男性,24,本科,陕西省,西安市,oppo应用商店,刺客,青铜,2019/3/9
B29366,2017#10#10,男性,35,本科,重庆市,重庆市,APP Store,刺客,青铜,2018/12/20
B49920,2017#8#4,男性,28,高中/中专,福建省,泉州市,应用宝,剑士,青铜,2019/10/18
B31966,2018/2/19,男性,20,初中及以下,山东省,菏泽市,应用宝,法师,白银,2019/3/15
B21722,2017#12#16,男性,18,初中及以下,广东省,广州市,华为应用商店,刺客,黄金,2018/3/21
B34764,2019/6/27,男性,18,大专,福建省,泉州市,vivo应用商店,法师,白银,2019/9/18
B46737,2019/1/25,男性,34,高中/中专,广东省,广州市,小米应用商店,法师,黄金,2019/4/20
B48122,2019/4/16,女,19,大专,重庆市,重庆市,华为应用商店,剑士,青铜,2019/10/26
B25217,2018/1/18,男性,17,初中及以下,江苏省,无锡市,华为应用商店,刺客,青铜,2019/6/10
B21721,2018/9/2,男性,31,大专,湖北省,武汉市,华为应用商店,法师,青铜,2019/7/22
B29239,2019/2/9,男性,32,大专,甘肃省,定西市,应用宝,法师,青铜,2019/3/21
B37653,2017#7#7,男性,24,大专,安徽省,池州市,应用宝,刺客,青铜,2018/8/2
B41978,2017#11#7,男性,21,高中/中专,江苏省,苏州市,华为应用商店,刺客,星耀,2018/1/16
B34003,2018/3/19,男性,13,初中及以下,江苏省,常州市,应用宝,刺客,青铜,2018/5/18
B47862,2018/7/13,女,24,大专,陕西省,西安市,APP Store,刺客,白银,2019/4/17
B52044,2018/6/17,女,42,高中/中专,陕西省,西安市,APP Store,剑士,白银,2019/3/12
B27429,2018/11/2,男性,24,硕士,山东省,东营市,vivo应用商店,法师,青铜,2019/4/24
B36167,2017#11#1,男性,33,本科,广东省,中山市,应用宝,法师,青铜,2018/1/20
B22322,2019/2/13,女,18,大专,北京市,北京市,oppo应用商店,刺客,青铜,2019/4/20
B24770,2017#8#23,男性,18,高中/中专,湖南省,株洲市,APP Store,法师,青铜,2018/12/8
B40338,2018/5/1,男性,28,初中及以下,福建省,福州市,应用宝,法师,黄金,2019/9/23
B41360,2018/9/6,男性,21,高中/中专,重庆市,重庆市,其他,法师,青铜,2019/1/13
B24035,2017#11#26,男性,32,本科,江苏省,扬州市,oppo应用商店,法师,青铜,2019/5/28
B46672,2019/5/25,男性,21,高中/中专,安徽省,安庆市,其他,法师,青铜,2019/7/3
B37285,2017#7#13,女,36,博士及以上,陕西省,西安市,华为应用商店,法师,青铜,2017/9/7
B38694,2017#7#21,男性,32,本科,新疆维吾尔自治区,昌吉回族自治州,vivo应用商店,剑士,青铜,2018/12/3
B23814,2018/11/11,男,38,本科,云南省,昆明市,应用宝,剑士,青铜,2019/3/22
B30458,2017#11#16,男,17,大专,黑龙江省,佳木斯市,应用宝,刺客,青铜,2019/7/10
B38651,2017#11#16,男,21,大专,陕西省,西安市,应用宝,剑士,青铜,2019/9/25
B41929,2017#7#21,男,39,大专,江苏省,镇江市,华为应用商店,剑士,青铜,2018/2/18
B43950,2018/3/9,男,22,初中及以下,上海市,上海市,应用宝,法师,青铜,2019/2/4
B36938,2017#7#31,男,35,大专,江苏省,宿迁市,小米应用商店,法师,青铜,2018/3/11
B35177,2019/5/11,男,29,本科,辽宁省,沈阳市,小米应用商店,剑士,白银,2019/7/31
B26796,2017#11#30,男,24,高中/中专,天津市,天津市,小米应用商店,刺客,白银,2019/2/15
B35019,2017#9#22,男,23,硕士,山东省,烟台市,APP Store,法师,青铜,2018/6/22
B36225,2018/1/1,女,38,高中/中专,江苏省,扬州市,应用宝,剑士,青铜,2018/12/4
B46395,2017#11#30,男,41,本科,上海市,上海市,小米应用商店,法师,青铜,2019/1/21
B23478,2017#8#23,女,21,大专,河南省,郑州市,华为应用商店,法师,青铜,2017/10/1
B28528,2019/5/24,女,20,大专,江苏省,常州市,vivo应用商店,法师,白银,2019/8/17
B51186,2017#12#14,男,30,初中及以下,安徽省,宿州市,APP Store,刺客,青铜,2019/4/7
B51754,2018/5/17,女,23,大专,浙江省,金华市,vivo应用商店,刺客,青铜,2018/9/26
B51918,2018/11/6,男,21,本科,浙江省,宁波市,华为应用商店,剑士,白银,2019/1/26
B37465,2018/7/17,男,25,初中及以下,江苏省,南通市,oppo应用商店,法师,白银,2019/8/13
B32563,2019/5/6,男,25,大专,广东省,佛山市,华为应用商店,法师,青铜,2019/7/28
B51010,2017#9#28,女,19,初中及以下,广东省,广州市,APP Store,法师,青铜,2018/9/7
B33023,2017#9#23,男,28,本科,福建省,泉州市,vivo应用商店,刺客,青铜,2019/8/18
B26112,2018/3/31,男,21,博士及以上,广西壮族自治区,南宁市,oppo应用商店,法师,青铜,2019/2/22
B27771,2018/2/14,女,13,初中及以下,云南省,大理白族自治州,小米应用商店,法师,青铜,2019/2/27
B31842,2017#10#12,男,30,本科,福建省,福州市,华为应用商店,剑士,青铜,2018/9/11
B44095,2018/5/2,女,27,本科,四川省,广元市,APP Store,法师,青铜,2018/5/15
B50156,2019/5/14,男,23,高中/中专,安徽省,淮北市,华为应用商店,法师,青铜,2019/7/17
B23305,2018/9/19,男,32,大专,安徽省,亳州市,oppo应用商店,剑士,黄金,2018/12/23
B47809,2018/8/20,男,26,大专,四川省,凉山彝族自治州,oppo应用商店,法师,青铜,2019/2/8
B49486,2018/6/20,男,14,初中及以下,湖北省,孝感市,APP Store,法师,青铜,2019/11/19
B44503,2018/1/9,女,29,本科,广东省,广州市,APP Store,法师,青铜,2019/11/12
B27522,2017#11#29,男,30,硕士,江苏省,扬州市,APP Store,法师,白银,2019/4/23
B52163,2017#10#26,男,25,大专,河北省,唐山市,APP Store,法师,青铜,2018/9/3
B26662,2018/9/22,男,31,初中及以下,贵州省,六盘水市,oppo应用商店,法师,白银,2019/4/18
B41588,2018/3/8,男,21,大专,江苏省,苏州市,华为应用商店,刺客,青铜,2019/1/20
B46051,2017#8#17,男,29,大专,湖北省,武汉市,华为应用商店,法师,青铜,2017/12/18
B49142,2017#10#31,男,15,初中及以下,北京市,北京市,应用宝,剑士,青铜,2019/9/10
B23919,2017#11#25,男,14,初中及以下,山东省,聊城市,小米应用商店,剑士,青铜,2019/6/7
B38606,2019/2/11,男,26,高中/中专,福建省,泉州市,华为应用商店,法师,青铜,2019/3/3
B45664,2017#11#22,女,20,本科,江苏省,苏州市,华为应用商店,刺客,青铜,2019/3/18
B48864,2018/1/1,女,30,大专,安徽省,蚌埠市,oppo应用商店,法师,青铜,2018/5/13
B37572,2017#11#23,男,41,高中/中专,安徽省,六安市,华为应用商店,刺客,青铜,2019/9/2
B42601,2017#7#10,男,24,本科,江苏省,南通市,华为应用商店,法师,青铜,2019/6/2
B36134,2018/1/12,男,29,大专,江苏省,南京市,oppo应用商店,法师,青铜,2018/12/29
B42146,2018/5/4,男,20,大专,四川省,绵阳市,小米应用商店,法师,青铜,2019/3/4
B47432,2017#9#7,男,25,高中/中专,江苏省,苏州市,vivo应用商店,法师,青铜,2018/5/29
B50460,2018/11/11,男,20,大专,陕西省,西安市,APP Store,剑士,青铜,2018/11/29
B50001,2017#11#16,女,23,本科,广东省,云浮市,vivo应用商店,法师,青铜,2019/7/27
B36273,2018/3/3,女,28,大专,山东省,济宁市,小米应用商店,法师,青铜,2018/8/25
B23091,2017#9#19,女,19,高中/中专,云南省,文山壮族苗族自治州,应用宝,剑士,青铜,2019/6/20
B45788,2018/1/9,男,21,初中及以下,福建省,泉州市,华为应用商店,法师,青铜,2018/8/17
B25730,2018/2/28,男,15,初中及以下,江苏省,镇江市,APP Store,法师,青铜,2018/12/24
B31446,2018/6/10,女,17,高中/中专,广东省,东莞市,oppo应用商店,剑士,青铜,2018/8/16
B34868,2017#10#20,男,25,大专,江西省,景德镇市,APP Store,剑士,青铜,2017/12/31
B37977,2017#9#27,男,29,大专,北京市,北京市,华为应用商店,剑士,青铜,2019/11/14
B22013,2017#12#24,女,23,本科,广东省,惠州市,华为应用商店,刺客,白银,2017/12/29
B24154,2019/5/6,男,20,大专,河北省,廊坊市,应用宝,刺客,白银,2019/7/15
B44942,2017#7#15,男,13,初中,江苏省,镇江市,应用宝,剑士,青铜,2019/5/26
B49852,2017#7#16,男,26,大专,河北省,廊坊市,oppo应用商店,剑士,青铜,2018/3/31
B35632,2017#8#10,女,22,大专,吉林省,长春市,应用宝,剑士,白银,2017/12/15
B27536,2017#9#19,男,29,高中/中专,广西壮族自治区,北海市,华为应用商店,刺客,青铜,2019/11/24
B36050,2018/6/3,男,19,大专,湖南省,衡阳市,小米应用商店,剑士,王者,2019/6/29
B42941,2018/6/27,男,32,大专,江苏省,徐州市,小米应用商店,刺客,青铜,2018/12/29
B27645,2018/9/5,男,20,硕士,广东省,东莞市,小米应用商店,法师,青铜,2019/3/7
B26255,2018/12/8,男,28,初中及以下,山东省,济南市,华为应用商店,剑士,青铜,2019/8/24
B50496,2018/7/15,男,17,高中/中专,江西省,九江市,APP Store,法师,白银,2018/12/8
B31560,2017#12#31,女,24,大专,广东省,清远市,小米应用商店,刺客,黄金,2018/4/19
B32094,2017#9#20,男,20,高中/中专,湖北省,武汉市,APP Store,剑士,青铜,2019/3/26
B34646,2019/4/16,男,29,大专,湖北省,十堰市,vivo应用商店,法师,青铜,2019/6/26
B21486,2018/12/18,男,16,高中/中专,山东省,枣庄市,oppo应用商店,刺客,青铜,2019/8/1
B36419,2018/1/19,男,14,初中及以下,湖南省,湘西土家族苗族自治州,应用宝,法师,青铜,2019/10/14
B25810,2018/10/31,女,14,初中及以下,江苏省,苏州市,APP Store,法师,青铜,2018/12/19
B30612,2018/11/18,男,24,大专,江苏省,扬州市,华为应用商店,法师,白银,2019/2/14
B23835,2017#8#4,女,35,高中/中专,河北省,廊坊市,应用宝,法师,青铜,2018/8/10
B42032,2019/1/13,男,31,高中/中专,湖北省,武汉市,华为应用商店,刺客,青铜,2019/2/15
B22936,2017#10#10,男,30,本科,北京市,北京市,应用宝,法师,青铜,2018/10/12
B52538,2017#9#14,女,32,硕士,江苏省,南京市,小米应用商店,法师,青铜,2019/2/6
B23563,2018/8/19,男,14,初中及以下,上海市,上海市,华为应用商店,刺客,青铜,2019/10/29
B41389,2017#12#10,男,18,大专,陕西省,咸阳市,应用宝,法师,青铜,2019/5/25
B29387,2018/9/19,男,28,硕士,广东省,佛山市,华为应用商店,剑士,青铜,2019/2/18
B42346,2018/8/15,男,22,本科,江苏省,盐城市,华为应用商店,法师,青铜,2019/7/28
B35377,2018/11/18,男,18,大专,湖北省,湖北省直辖,小米应用商店,法师,青铜,2019/1/31
B35664,2019/3/7,男,16,初中及以下,四川省,广元市,APP Store,法师,青铜,2019/6/6
B26100,2019/2/8,男,24,高中/中专,江苏省,宿迁市,vivo应用商店,法师,青铜,2019/4/20
B41985,2018/8/19,男,22,本科,湖北省,荆州市,oppo应用商店,剑士,青铜,2019/7/11
B29771,2017#10#9,女,14,初中及以下,上海市,上海市,小米应用商店,剑士,青铜,2017/12/19
B42637,2018/9/28,女,17,高中/中专,重庆市,重庆市,应用宝,法师,青铜,2018/7/23
B43576,2018/10/12,女,21,高中/中专,青海省,西宁市,小米应用商店,剑士,青铜,2019/5/12
B26083,2018/8/22,男,17,高中/中专,江苏省,苏州市,应用宝,法师,青铜,2019/5/8
B45574,2017#7#29,男,17,大专,甘肃省,天水市,华为应用商店,法师,白银,2018/10/25
B48343,2018/5/2,男,33,本科,广西壮族自治区,南宁市,oppo应用商店,法师,青铜,2018/7/16
B33022,2017#8#13,男,32,大专,安徽省,池州市,vivo应用商店,法师,青铜,2018/2/3
B50347,2017#11#22,男,26,本科,云南省,昆明市,vivo应用商店,法师,白银,2019/6/18
B27993,2019/1/16,男,20,高中/中专,河北省,衡水市,华为应用商店,刺客,青铜,2019/3/2
B21538,2017#11#24,男,17,大专,内蒙古自治区,鄂尔多斯市,oppo应用商店,法师,青铜,2019/6/30
B30696,2018/3/31,女,30,大专,福建省,三明市,应用宝,法师,青铜,2018/5/6
B37522,2018/5/2,男,33,大专,江苏省,无锡市,华为应用商店,剑士,青铜,2019/10/13
B27854,2018/7/12,男,18,高中/中专,广西壮族自治区,崇左市,小米应用商店,法师,白银,2019/8/14
B35815,2017#7#26,男,25,本科,江苏省,宿迁市,华为应用商店,法师,青铜,2018/1/29
B43456,2018/4/17,男,14,初中及以下,上海市,上海市,vivo应用商店,法师,青铜,2018/5/19
B32477,2018/7/15,男,23,大专,江苏省,泰州市,vivo应用商店,剑士,白银,2019/10/17
B29370,2017#7#13,男,26,大专,广东省,东莞市,vivo应用商店,法师,青铜,2017/10/2
B31165,2018/7/2,男,29,高中/中专,安徽省,淮南市,APP Store,剑士,青铜,2019/6/6
C26666,2018/8/21,女,29,大专,重庆市,重庆市,vivo应用商店,刺客,青铜,2019/7/30
C31113,2019/2/6,男,19,本科,新疆维吾尔自治区,昌吉回族自治州,华为应用商店,刺客,白银,2019/3/4
C23201,2018/9/6,男,13,初中及以下,江苏省,宿迁市,华为应用商店,剑士,青铜,2019/2/16
C50622,2017#10#27,男,22,大专,黑龙江省,大庆市,APP Store,刺客,青铜,2018/2/9
C24002,2018/11/28,男,22,本科,重庆市,重庆市,APP Store,剑士,青铜,2019/2/2
C46124,2018/8/19,女,43,本科,陕西省,西安市,oppo应用商店,法师,青铜,2019/11/28
C41385,2019/5/24,男,27,高中/中专,黑龙江省,鹤岗市,oppo应用商店,刺客,白银,2019/7/4
C22139,2017#9#1,女,18,初中及以下,甘肃省,平凉市,小米应用商店,法师,青铜,2018/10/10
C45378,2019/5/25,女,27,大专,福建省,宁德市,vivo应用商店,法师,青铜,2019/8/8
C46410,2017#7#12,男,22,本科,江西省,鹰潭市,oppo应用商店,剑士,青铜,2018/8/8
C46212,2018/10/10,男,28,本科,上海市,上海市,华为应用商店,法师,青铜,2019/2/25
C38556,2018/1/12,男,14,初中及以下,陕西省,咸阳市,华为应用商店,法师,青铜,2018/9/13
C23366,2018/1/10,女,12,初中及以下,福建省,南平市,华为应用商店,法师,白银,2018/6/29
C52330,2018/11/22,男,17,大专,浙江省,宁波市,vivo应用商店,刺客,黄金,2019/11/15
C29699,2017#10#5,男,19,大专,上海市,上海市,华为应用商店,剑士,青铜,2019/6/25
C42467,2017#11#2,男,35,大专,江西省,宜春市,vivo应用商店,刺客,青铜,2018/7/31
C24164,2017#12#31,女,23,大专,江苏省,徐州市,oppo应用商店,剑士,青铜,2019/10/3
C37873,2017#12#18,男,16,高中/中专,山东省,青岛市,应用宝,刺客,青铜,2019/4/18
C42995,2019/6/6,男,21,本科,河南省,驻马店市,vivo应用商店,法师,白银,2019/8/29
C31410,2018/8/16,男,27,初中及以下,云南省,昆明市,oppo应用商店,法师,白银,2019/5/20
C21575,2017#10#20,男,14,初中及以下,福建省,莆田市,应用宝,刺客,青铜,2019/3/28
C47518,2018/1/12,男,31,高中/中专,上海市,上海市,APP Store,法师,青铜,2018/12/7
C39203,2018/1/25,女,15,初中及以下,四川省,南充市,华为应用商店,法师,青铜,2018/10/20
C36866,2019/1/19,女,35,大专,四川省,自贡市,应用宝,刺客,青铜,2019/3/3
C29703,2018/1/10,男,19,初中及以下,广东省,东莞市,vivo应用商店,刺客,青铜,2018/6/16
C50938,2017#7#10,男,16,初中及以下,河南省,信阳市,vivo应用商店,刺客,青铜,2019/3/10
C51196,2018/4/20,男,22,本科,山东省,潍坊市,vivo应用商店,法师,白银,2019/1/11
C51056,2019/2/8,男,16,高中/中专,江苏省,苏州市,应用宝,法师,白银,2019/5/13
C32112,2018/8/26,男,18,高中/中专,四川省,达州市,其他,刺客,青铜,2019/6/12
C39137,2018/8/23,男,24,高中/中专,云南省,楚雄彝族自治州,应用宝,刺客,白银,2019/7/17
C47887,2017#12#23,男,22,大专,北京市,北京市,小米应用商店,剑士,白银,2019/9/10
C29150,2017#10#14,男,24,初中及以下,江苏省,盐城市,oppo应用商店,法师,青铜,2018/8/26
C32578,2019/2/3,女,34,本科,湖北省,荆州市,APP Store,刺客,青铜,2019/5/1
C40747,2019/1/23,男,34,大专,上海市,上海市,华为应用商店,法师,青铜,2019/4/17
