图书名字,图书作者,图书出版社,图书评价数,图书推荐指数,图书原价,图书折后价,图书折扣,图书电子书价格,图书出版时间,图书地址,图书图片地址
布教授有办法--给孩子立规矩,T.贝里·布雷泽尔顿，乔舒亚·D.斯帕罗 著，严艺家 译,T.贝里·布雷泽尔顿,53133条评论,,¥44.90,¥49.80,9.0折,,2018-07-01,http://product.dangdang.com/25299217.html,http://img3m7.ddimg.cn/64/23/25299217-1_l_7.jpg
德鲁克 卓有成效的管理者,[美]彼得.德鲁克（Peter F. Drucker）,彼得.德鲁克,320622条评论,,¥49.00,¥69.00,7.1折,¥44.85,2019-04-20,http://product.dangdang.com/27848019.html,http://img3m9.ddimg.cn/12/6/27848019-1_l_10.jpg
敦煌奇幻旅行记 （套装全3册）,常怡,常怡,5688条评论,,¥52.50,¥105.00,5.0折,,2021-08-23,http://product.dangdang.com/29285920.html,http://img3m0.ddimg.cn/37/13/29285920-1_l_7.jpg
富兰克林自传（《美国独立宣言》起草人的励志人生）,[美]本杰明·富兰克林 著，潘丽先 译,本杰明·富兰克林,37285条评论,,¥12.30,¥25.00,4.9折,¥1.99,2017-12-01,http://product.dangdang.com/25190563.html,http://img3m3.ddimg.cn/13/1/25190563-1_l_8.jpg
白鹿原（新版，央视《读书》推荐，含白鹿原+信任+蚕儿+霞光灿烂的,陈忠实,陈忠实,104999条评论,,¥19.90,¥39.80,5.0折,,2019-03-28,http://product.dangdang.com/26913843.html,http://img3m3.ddimg.cn/0/6/26913843-1_l_12.jpg
道德经 精装珍藏本,（春秋）老子著；富强译 注，高高国际  出品,老子,40599条评论,,¥28.20,¥32.80,8.6折,,2016-06-30,http://product.dangdang.com/23978304.html,http://img3m4.ddimg.cn/9/10/23978304-1_l_9.jpg
陪孩子走过小学六年（全新增订版）（新版）,刘称莲,刘称莲,59411条评论,,¥45.00,¥45.00,10.0折,,2019-07-23,http://product.dangdang.com/27907989.html,http://img3m9.ddimg.cn/87/36/27907989-1_l_6.jpg
刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思,刘擎 著; 得到图书 出品,刘擎,73429条评论,,¥62.40,¥79.00,7.9折,,2021-01-17,http://product.dangdang.com/29180031.html,http://img3m1.ddimg.cn/78/18/29180031-1_l_25.jpg
孩子受益一生的专注力训练 以哈佛“优势循环”四步法为基础，更适,芮彩琴,芮彩琴,36030条评论,,¥37.30,¥42.80,8.7折,¥9.89,2020-03-31,http://product.dangdang.com/28529991.html,http://img3m1.ddimg.cn/72/31/28529991-1_l_4.jpg
博物馆里的中国历史（全6册，一套有深度、有广度、时间线索全面、,罗米,罗米,1824条评论,,¥130.00,¥260.00,5.0折,,2020-12-01,http://product.dangdang.com/29174560.html,http://img3m0.ddimg.cn/52/23/29174560-1_l_12.jpg
他最野了（全2册）曲小蛐代表作,"曲小蛐 著,酷威文化 出品",曲小蛐,58794条评论,,¥46.80,¥68.00,6.9折,,2021-01-01,http://product.dangdang.com/29150688.html,http://img3m8.ddimg.cn/39/16/29150688-1_l_28.jpg
丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,莫言,莫言,127899条评论,,¥34.50,¥69.00,5.0折,,2020-03-01,http://product.dangdang.com/28531227.html,http://img3m7.ddimg.cn/21/9/28531227-1_l_11.jpg
意林合订本2021年01期-06期（总第68卷）升级版,意林编辑部,意林,12698条评论,,¥16.80,¥42.00,4.0折,,2021-02-28,http://product.dangdang.com/29201218.html,http://img3m8.ddimg.cn/79/4/29201218-1_l_4.jpg
中国哲学简史（冯友兰先生经典作品，中国哲学史入门读物）,冯友兰 著；赵复三 译,冯友兰,1281条评论,,¥28.40,¥58.00,4.9折,,2021-09-25,http://product.dangdang.com/29301599.html,http://img3m9.ddimg.cn/74/4/29301599-1_l_382.jpg
张嘉佳:让我留在你身边（当当签名版与特别纪念环衬版随机发送，张,"张嘉佳 著,博集天卷 出品",张嘉佳,175061条评论,,¥23.40,¥46.80,5.0折,¥21.06,2020-08-01,http://product.dangdang.com/28994493.html,http://img3m3.ddimg.cn/66/35/28994493-1_l_22.jpg
月亮的味道（精装）,麦克格雷涅茨 著,麦克格雷涅茨,318659条评论,,¥17.40,¥35.00,5.0折,,2017-10-01,http://product.dangdang.com/25176229.html,http://img3m9.ddimg.cn/34/23/25176229-1_l_4.jpg
社会心理学（第11版）,戴维·迈尔斯著，新曲线 出品，侯玉波，乐国安，张智勇 等译,戴维·迈尔斯,224251条评论,,¥102.40,¥128.00,8.0折,,2016-01-01,http://product.dangdang.com/23840740.html,http://img3m0.ddimg.cn/55/12/23840740-1_l_8.jpg
半小时漫画世界史2（ 四大文明古国组团出道，为啥只剩中国屹立不,陈磊.半小时漫画团队 著；读客文化 出品,陈磊.半小时漫画团队,18054条评论,,¥24.90,¥49.90,5.0折,,2021-06-30,http://product.dangdang.com/29252928.html,http://img3m8.ddimg.cn/12/25/29252928-1_l_9.jpg
理想国（商务印书馆汉译名著权威全译本，精装典藏版）,柏拉图 著；郭斌和 张竹明 译,柏拉图,62220条评论,,¥34.00,¥68.00,5.0折,,2020-06-01,http://product.dangdang.com/28989328.html,http://img3m8.ddimg.cn/49/13/28989328-1_l_4.jpg
漫画讲透孙子兵法(全4册)（130个知识点讲透5000字原文，130场战斗,华杉 著；读客文化 出品,华杉,40132条评论,,¥73.60,¥147.20,5.0折,,2020-04-16,http://product.dangdang.com/28536984.html,http://img3m4.ddimg.cn/36/31/28536984-1_l_10.jpg
事实（比尔.盖茨送给全美大学生的毕业礼物！比尔.盖茨逢人就推荐,(瑞典)汉斯·罗斯林等 著；读客文化 出品,汉斯·罗斯林,115850条评论,,¥49.50,¥99.00,5.0折,¥19.99,2019-05-07,http://product.dangdang.com/27866721.html,http://img3m1.ddimg.cn/3/23/27866721-1_l_5.jpg
哈利·波特与密室（《语文》教材推荐阅读书目，外国儿童文学经典,（英）J.K.罗琳,J.K.罗琳,113384条评论,,¥37.00,¥43.00,8.6折,,2018-11-01,http://product.dangdang.com/25479401.html,http://img3m1.ddimg.cn/68/17/25479401-1_l_1.jpg
邂逅中国 走遍中国 图说天下 国家地理 套装共5册[精选套装],赵晓玉 ，郝娟菡，《图说天下.国家地理系列》编委会,赵晓玉,32923条评论,,¥73.60,¥99.50,7.4折,,2017-11-01,http://product.dangdang.com/25168109.html,http://img3m9.ddimg.cn/32/6/25168109-1_l_7.jpg
闭环思维（罗振宇、老喻、李嘉诚、侯小强等大咖倡导的理念）,智俊启 著 时代华语 出品,智俊启,31657条评论,,¥21.00,¥42.00,5.0折,,2019-11-01,http://product.dangdang.com/28476034.html,http://img3m4.ddimg.cn/70/20/28476034-1_l_15.jpg
资治通鉴少年简读版(套装全4册）附赠音频，扫码畅听！四册盒装，,何孝荣 侯振龙,何孝荣,93207条评论,,¥78.00,¥156.00,5.0折,,2019-05-01,http://product.dangdang.com/27868330.html,http://img3m0.ddimg.cn/28/4/27868330-1_l_8.jpg
《鲜衣怒马少年时》（1+2）套装,"少年怒马 著,博集天卷 出品",少年怒马,6619条评论,,¥49.00,¥98.00,5.0折,,2021-08-01,http://product.dangdang.com/29273879.html,http://img3m9.ddimg.cn/74/34/29273879-1_l_9.jpg
知行合一王阳明大全集（全5册）（樊登推荐！百万读者了解阳明心学,度阴山 著；读客文化 出品,度阴山,131188条评论,,¥108.00,¥216.00,5.0折,,2019-04-17,http://product.dangdang.com/27855374.html,http://img3m4.ddimg.cn/41/35/27855374-1_l_19.jpg
人生（2021版，茅盾文学奖得主路遥代表作，激励万千读者，堪称《,路遥  著 ，新经典  出品,路遥,90239条评论,,¥27.20,¥39.50,6.9折,,2021-07-01,http://product.dangdang.com/29267111.html,http://img3m1.ddimg.cn/38/0/29267111-1_l_6.jpg
大卫科波菲尔（狄更斯传奇自传性小说，翻译家宋兆霖全译本）,"[英] 查尔斯·狄更斯 著, 宋兆霖 译",查尔斯·狄更斯,112877条评论,,¥24.40,¥49.80,4.9折,¥1.99,2015-08-01,http://product.dangdang.com/23753565.html,http://img3m5.ddimg.cn/0/9/23753565-1_l_11.jpg
透过地理看历史,李不白,李不白,19117条评论,,¥24.00,¥48.00,5.0折,,2021-01-13,http://product.dangdang.com/29191016.html,http://img3m6.ddimg.cn/74/14/29191016-1_l_8.jpg
寻欢作乐（毛姆自认的得意&满意之作，2019年集众家所长无删节全新,〔英〕毛姆 著 王晋华 译,毛姆,15199条评论,,¥12.70,¥26.00,4.9折,,2019-02-01,http://product.dangdang.com/26492244.html,http://img3m4.ddimg.cn/42/22/26492244-1_l_9.jpg
曹文轩文集典藏版（全7册）,曹文轩   著,曹文轩,383174条评论,,¥84.00,¥168.00,5.0折,,2013-09-01,http://product.dangdang.com/23323691.html,http://img3m1.ddimg.cn/83/1/23323691-1_l_18.jpg
认知觉醒：开启自我改变的原动力,周岭,周岭,32135条评论,,¥25.70,¥59.80,4.3折,¥17.99,2020-09-01,http://product.dangdang.com/29119834.html,http://img3m4.ddimg.cn/73/20/29119834-1_l_12.jpg
午夜降临前抵达（李健、梁文道、麦家、许知远、俞敏洪推荐，不能,刘子超  著，新经典  出品,刘子超,13141条评论,,¥29.50,¥59.00,5.0折,¥35.40,2021-08-01,http://product.dangdang.com/29276881.html,http://img3m1.ddimg.cn/7/2/29276881-1_l_21.jpg
希望之线（东野圭吾新代表作，高分作品TOP5！）,（日）东野圭吾  著 ， 新经典  出品,东野圭吾,37720条评论,,¥29.50,¥59.00,5.0折,¥29.50,2021-04-01,http://product.dangdang.com/29216523.html,http://img3m3.ddimg.cn/39/28/29216523-1_l_27.jpg
人间告白（何炅、谢娜、 易烊千玺推荐，花生妈妈金鱼酱写给儿子的,金鱼酱  白马时光出品,金鱼酱,102828条评论,,¥24.90,¥49.80,5.0折,¥29.99,2020-03-01,http://product.dangdang.com/28518095.html,http://img3m5.ddimg.cn/56/12/28518095-1_l_45.jpg
余光中下次你路过，人间已无我,余光中,余光中,22442条评论,,¥19.20,¥42.00,4.6折,¥3.99,2018-12-01,http://product.dangdang.com/26437501.html,http://img3m1.ddimg.cn/46/2/26437501-1_l_11.jpg
少有人走的路：心智成熟的旅程（白金升级版）,[美]M.斯科特·派克(M.Scott Peck)  ，译者：于海生  严冬冬  ，正清出品,M.斯科特·派克,167396条评论,,¥24.70,¥42.00,5.9折,,2020-10-20,http://product.dangdang.com/29139774.html,http://img3m4.ddimg.cn/15/17/29139774-1_l_20.jpg
我喜欢自己——邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本,（美）卡尔森　著，余治莹　译,卡尔森,404700条评论,,¥17.90,¥35.80,5.0折,,2019-11-01,http://product.dangdang.com/27942697.html,http://img3m7.ddimg.cn/46/1/27942697-1_l_18.jpg
六层楼先生 怀孕呵护指南 第十一诊室,六层楼先生 著,六层楼先生,13754条评论,,¥93.90,¥98.00,9.6折,,2021-07-01,http://product.dangdang.com/29278728.html,http://img3m8.ddimg.cn/72/36/29278728-1_l_17.jpg
这里是中国2 百年重塑山河 入选北京市科学技术协会 “2021年优秀,星球研究所,星球研究所,125103条评论,,¥129.00,¥198.00,6.5折,¥139.99,2021-06-22,http://product.dangdang.com/29262958.html,http://img3m8.ddimg.cn/43/28/29262958-1_l_15.jpg
红岩,罗广斌，杨益言,罗广斌,623860条评论,,¥28.40,¥36.00,7.9折,,2017-09-01,http://product.dangdang.com/25167661.html,http://img3m1.ddimg.cn/79/2/25167661-1_l_5.jpg
沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之,阎真  著 ， 新经典  出品,阎真,88954条评论,,¥24.50,¥49.00,5.0折,,2021-07-01,http://product.dangdang.com/29270902.html,http://img3m2.ddimg.cn/67/17/29270902-1_l_9.jpg
如果历史是一群喵8·盛世大唐篇,肥志 编绘；漫友文化出品,肥志,44991条评论,,¥44.80,¥59.80,7.5折,,2021-05-25,http://product.dangdang.com/29242265.html,http://img3m5.ddimg.cn/41/18/29242265-1_l_35.jpg
大中华寻宝系列（1-28 上海寻宝记/北京/天津/重庆/山东/四川/湖北,孙家裕,孙家裕,2172条评论,,¥485.10,¥980.00,5.0折,,2021-08-01,http://product.dangdang.com/29293130.html,http://img3m0.ddimg.cn/20/8/29293130-1_l_7.jpg
枪炮、病菌与钢铁——人类社会的命运(修订版）,[美]贾雷德·戴蒙德著 谢延光译,贾雷德·戴蒙德,259154条评论,,¥18.40,¥55.00,3.3折,,2016-07-01,http://product.dangdang.com/24010525.html,http://img3m5.ddimg.cn/55/4/24010525-1_l_7.jpg
被欺负了，可以打回去吗（解决父母的世纪难题，告诉孩子被欺负了,小杨叔叔,小杨叔叔,9286条评论,,¥19.00,¥38.00,5.0折,,2021-07-01,http://product.dangdang.com/29265559.html,http://img3m9.ddimg.cn/70/2/29265559-1_l_8.jpg
民国往事,萨沙 编,萨沙,171204条评论,,¥6.80,¥18.00,3.8折,¥4.35,2015-05-01,http://product.dangdang.com/23718018.html,http://img3m8.ddimg.cn/93/19/23718018-1_l_6.jpg
0-3岁家庭安全亲子游戏纸板书（套装全4册，歪歪兔出品）,歪歪兔关键期早教项目组,歪歪兔关键期早教项目组,11979条评论,,¥99.50,¥199.00,5.0折,¥24.99,2019-10-10,http://product.dangdang.com/27941153.html,http://img3m3.ddimg.cn/86/11/27941153-1_l_65.jpg
我的个天（戴教授随笔集，聊聊年轻朋友绕不开的读书、工作、恋爱,戴建业，果麦文化 出品,戴建业,53339条评论,,¥29.90,¥59.80,5.0折,¥18.99,2021-04-01,http://product.dangdang.com/29215219.html,http://img3m9.ddimg.cn/22/19/29215219-1_l_24.jpg
《旧梦令》（旧梦1913-1997，新锐实力作家沈鱼藻高口碑人气短篇首,沈鱼藻，风炫文化 出品,沈鱼藻,868条评论,,¥32.10,¥42.80,7.5折,,2021-04-01,http://product.dangdang.com/29233524.html,http://img3m4.ddimg.cn/12/9/29233524-1_l_7.jpg
时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版,[美]乔治·塞尔登,乔治·塞尔登,471719条评论,,¥11.20,¥25.00,4.5折,,2020-11-01,http://product.dangdang.com/29148971.html,http://img3m1.ddimg.cn/5/1/29148971-1_l_12.jpg
在细雨中呼喊（余华活着许三观卖血记兄弟文城长篇代表作之一作家,余华,余华,116017条评论,,¥16.50,¥33.00,5.0折,¥11.99,2017-09-12,http://product.dangdang.com/25160767.html,http://img3m7.ddimg.cn/16/27/25160767-1_l_3.jpg
厚黑学全集（足本典藏版，林语堂、南怀瑾、柏杨、李敖历经沉浮，,李宗吾 著   创美工厂 出品,李宗吾,100028条评论,,¥14.90,¥29.80,5.0折,¥2.68,2013-06-01,http://product.dangdang.com/23270054.html,http://img3m4.ddimg.cn/5/14/23270054-1_l_9.jpg
逻辑表达力:说话缜密有趣，一句顶一万句,刘琳,刘琳,34611条评论,,¥17.90,¥39.80,4.5折,¥5.99,2019-08-01,http://product.dangdang.com/27951136.html,http://img3m6.ddimg.cn/70/4/27951136-1_l_15.jpg
局外人（如果你在人群中感到格格不入，一定要读《局外人》！全新,(法)加缪 著；读客文化 出品,加缪,204591条评论,,¥22.50,¥45.00,5.0折,¥6.99,2019-03-01,http://product.dangdang.com/26516153.html,http://img3m3.ddimg.cn/92/29/26516153-1_l_17.jpg
海底两万里 注音版名师名家读名著,儒勒·凡尔纳,儒勒·凡尔纳,72926条评论,,¥26.90,¥34.00,7.9折,,2018-10-01,http://product.dangdang.com/25547088.html,http://img3m8.ddimg.cn/39/31/25547088-1_l_2.jpg
三毛全集05：梦里花落知多少,三毛 著，新经典 出品,三毛,113274条评论,,¥17.50,¥35.00,5.0折,¥21.00,2017-04-07,http://product.dangdang.com/24242910.html,http://img3m0.ddimg.cn/87/29/24242910-1_l_3.jpg
解码青春期（了解青春期究竟发生了什么，帮助父母正面管教十几岁,(美)乔希 西普（Josh Shipp） 著，李峥嵘  胡晓宇 译 青豆书坊 出品,乔希,110711条评论,,¥40.70,¥46.80,8.7折,,2019-01-01,http://product.dangdang.com/26912274.html,http://img3m4.ddimg.cn/15/28/26912274-1_l_8.jpg
海子的诗,海子 著,海子,45533条评论,,¥15.20,¥38.00,4.0折,,2018-09-01,http://product.dangdang.com/25349692.html,http://img3m2.ddimg.cn/49/30/25349692-1_l_1.jpg
科幻世界·三体Ⅱ·黑暗森林（典藏版）,刘慈欣，科幻世界出品,刘慈欣,48282条评论,,¥23.10,¥42.00,5.5折,,2016-06-30,http://product.dangdang.com/23989082.html,http://img3m2.ddimg.cn/95/21/23989082-1_l_20.jpg
亲爱的小孩 猜猜世界多有趣,伊云 白湖 胡琦琦,伊云,28177条评论,,¥54.50,¥69.00,7.9折,,2020-04-01,http://product.dangdang.com/28536903.html,http://img3m3.ddimg.cn/54/24/28536903-1_l_8.jpg
哈利·波特与死亡圣器（《语文》教材推荐阅读书目，外国儿童文学,（英）J.K.罗琳,J.K.罗琳,148538条评论,,¥50.20,¥75.00,6.7折,,2018-11-01,http://product.dangdang.com/25479404.html,http://img3m4.ddimg.cn/71/20/25479404-1_l_1.jpg
协和专家孕产大百科（汉竹）,马良坤  丁国芳  李宁,马良坤,25460条评论,,¥44.60,¥49.80,9.0折,¥10.46,2016-08-01,http://product.dangdang.com/24029891.html,http://img3m1.ddimg.cn/17/19/24029891-1_l_9.jpg
非暴力沟通的父母话术 父母的语言养育男孩女孩正面管教儿童心理学,李少聪,李少聪,23264条评论,,¥19.80,¥39.80,5.0折,,2020-09-01,http://product.dangdang.com/29125226.html,http://img3m6.ddimg.cn/20/10/29125226-1_l_6.jpg
心的重建(5周年纪念版，加赠精美笔记本*1+书签*2)：生命中的失去,[美]露易丝·海  [美]大卫·凯思乐 著，方月月 译，斯坦威出品,露易丝·海,81488条评论,,¥17.90,¥39.80,4.5折,¥9.90,2021-09-15,http://product.dangdang.com/29302061.html,http://img3m1.ddimg.cn/41/22/29302061-1_l_15.jpg
元宇宙＋元宇宙通证（全2册）（揭秘下一代互联网新态势，探索VR全,赵国栋、易欢欢、徐远重、邢杰、余晨 等 著/编著,赵国栋,6934条评论,,¥56.50,¥113.00,5.0折,¥19.90,2021-08-01,http://product.dangdang.com/29283760.html,http://img3m0.ddimg.cn/55/36/29283760-1_l_20.jpg
成年孤儿,（美）亚历山大·李维,亚历山大·李维,2374条评论,,¥7.70,¥45.00,1.7折,,2017-05-01,http://product.dangdang.com/25069353.html,http://img3m3.ddimg.cn/78/3/25069353-1_l_3.jpg
把自己当回事儿（杨天真的沟通秘籍！蔡康永、樊登、罗永浩真挚推,杨天真,杨天真,117335条评论,,¥56.00,¥56.00,10.0折,¥19.99,2021-04-01,http://product.dangdang.com/29215350.html,http://img3m0.ddimg.cn/54/2/29215350-1_l_8.jpg
明朝简史:一书读透大明三百年，揭示帝国由盛转衰的秘密.,吴晗 著，斯坦威 出品,吴晗,33406条评论,,¥42.70,¥48.00,8.9折,¥8.90,2019-11-01,http://product.dangdang.com/28518336.html,http://img3m6.ddimg.cn/0/31/28518336-1_l_3.jpg
爱思考的小爱全4册,（法）奥斯卡·布勒尼菲耶 文，（法）德尔菲娜·佩雷 伊丽丝·德莫于 图，邢培健 译,奥斯卡·布勒尼菲耶,4888条评论,,¥53.80,¥138.00,3.9折,,2019-10-01,http://product.dangdang.com/28473600.html,http://img3m0.ddimg.cn/12/28/28473600-1_l_1.jpg
宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,宫西达也 文/图，杨文 晓晗 译,宫西达也,488500条评论,,¥65.60,¥126.00,5.2折,,2016-11-01,http://product.dangdang.com/24079906.html,http://img3m6.ddimg.cn/37/10/24079906-1_l_23.jpg
长安客（张颂文推荐，大唐版《人类群星闪耀时》，李白、杜甫、王,北溟鱼，果麦文化 出品,北溟鱼,79440条评论,,¥22.50,¥45.00,5.0折,¥14.99,2020-05-01,http://product.dangdang.com/28558256.html,http://img3m6.ddimg.cn/23/28/28558256-1_l_27.jpg
沙丘（同名电影即将全国上映！《降临》导演执导、“甜茶”“灭霸,(美)弗兰克.赫伯特 著；读客文化 出品,弗兰克.赫伯特,114547条评论,,¥34.00,¥68.00,5.0折,¥9.99,2016-12-28,http://product.dangdang.com/24168888.html,http://img3m8.ddimg.cn/18/7/24168888-1_l_21.jpg
当我谈跑步时，我谈些什么（2015典藏版）,〔日〕村上春树 著  著，施小炜 译，新经典 出品,村上春树,200311条评论,,¥18.00,¥36.00,5.0折,¥17.99,2015-10-01,http://product.dangdang.com/23774097.html,http://img3m7.ddimg.cn/39/6/23774097-1_l_9.jpg
赛雷三分钟漫画中国共产党历史（中共中央党史和文献研究院第七研,"赛雷 著,博集天卷 出品",赛雷,条评论,,¥24.00,¥48.00,5.0折,¥29.99,2021-10-01,http://product.dangdang.com/29267404.html,http://img3m4.ddimg.cn/34/34/29267404-1_l_12.jpg
思考，快与慢（团购电话400-106-6666转6）,(美)丹尼尔·卡尼曼,丹尼尔·卡尼曼,261560条评论,,¥51.70,¥69.00,7.5折,¥17.99,2012-07-01,http://product.dangdang.com/22781388.html,http://img3m8.ddimg.cn/3/7/22781388-1_l_5.jpg
中国最美的100个地方 图说天下 国家地理,"<图说天下,国家地理系列>编委会",图说天下,220188条评论,,¥14.80,¥19.90,7.4折,¥8.00,2012-06-01,http://product.dangdang.com/22790546.html,http://img3m6.ddimg.cn/53/26/22790546-1_l_4.jpg
梁实秋：人间食话（老树画画全彩插画，梁实秋谈吃散文名篇精装收,梁实秋 著，文通天下 出品,梁实秋,52216条评论,,¥22.50,¥45.00,5.0折,,2019-04-01,http://product.dangdang.com/27866079.html,http://img3m9.ddimg.cn/54/10/27866079-1_l_17.jpg
中华人民共和国监察法 中华人民共和国监察法实施条例,法律出版社,法律出版社,283条评论,,¥6.70,¥15.00,4.5折,,2021-09-01,http://product.dangdang.com/29305679.html,http://img3m9.ddimg.cn/95/14/29305679-1_l_5.jpg
暖萌科学绘本 和爸妈去旅行,黄宇,黄宇,85280条评论,,¥24.90,¥24.90,10.0折,,2018-06-01,http://product.dangdang.com/25272807.html,http://img3m7.ddimg.cn/87/31/25272807-1_l_3.jpg
有钱人和你想的不一样（2020版，教会你有钱人和穷人不一样的17种,"哈维·艾克 著,博集天卷 出品",哈维·艾克,108103条评论,,¥22.50,¥45.00,5.0折,,2017-06-01,http://product.dangdang.com/29118940.html,http://img3m0.ddimg.cn/70/14/29118940-1_l_9.jpg
世说新语（全2册·中华经典名著全本全注全译丛书-三全本）,朱碧莲，沈海波　译注,朱碧莲,195288条评论,,¥49.50,¥66.00,7.5折,¥39.60,2014-09-01,http://product.dangdang.com/23568685.html,http://img3m5.ddimg.cn/52/18/23568685-1_l_11.jpg
黄金时代（2021版，王小波成名代表作，当代文学经典！罗翔、肖战,王小波  著 ，新经典  出品,王小波,97808条评论,,¥40.70,¥59.00,6.9折,,2021-06-01,http://product.dangdang.com/29255747.html,http://img3m7.ddimg.cn/59/32/29255747-1_l_32.jpg
阿勒泰的角落（李娟成名作四色典藏版）,李娟 著，新经典 出品,李娟,107882条评论,,¥27.00,¥36.00,7.5折,¥15.99,2013-09-01,http://product.dangdang.com/23312938.html,http://img3m8.ddimg.cn/22/15/23312938-1_l_7.jpg
高老头（巴尔扎克代表作之一，人性与金钱的激情碰撞，翻译大师许,[法]巴尔扎克 著  许渊冲 译,巴尔扎克,40825条评论,,¥10.30,¥22.00,4.7折,¥1.99,2017-01-01,http://product.dangdang.com/24170729.html,http://img3m9.ddimg.cn/77/35/24170729-1_l_16.jpg
阅读是一座随身携带的避难所（罗翔推荐版本。“阅读应该是愉悦的,毛姆 著，夏高娃 译，果麦文化 出品,毛姆,27287条评论,,¥21.00,¥42.00,5.0折,¥18.99,2020-07-01,http://product.dangdang.com/28985457.html,http://img3m7.ddimg.cn/39/27/28985457-1_l_41.jpg
【2019诺贝尔经济学奖得主作品】 贫穷的本质（修订版）：我们为什,（印度）阿比吉特.班纳吉(Abhijit V.Banerjee)、（法）埃斯特.迪弗洛(Esther Duflo),阿比吉特.班纳吉,172594条评论,,¥36.00,¥58.00,6.2折,¥14.99,2018-09-01,http://product.dangdang.com/25327237.html,http://img3m7.ddimg.cn/67/34/25327237-1_l_5.jpg
小羊上山儿童汉语分级读物第1级（10册套装）,孙蓓主编     童趣出版有限公司编,孙蓓,14811条评论,,¥68.30,¥138.00,4.9折,,2020-09-01,http://product.dangdang.com/29140217.html,http://img3m7.ddimg.cn/62/16/29140217-1_l_9.jpg
艺术的记忆：名画背后的世界史,（韩）李真淑  著,李真淑,4820条评论,,¥46.10,¥98.00,4.7折,,2020-01-01,http://product.dangdang.com/28485147.html,http://img3m7.ddimg.cn/75/31/28485147-1_l_2.jpg
一切都在孤独里成全：叔本华的人生智慧,叔本华 著，文通天下 出品,叔本华,13532条评论,,¥21.00,¥42.00,5.0折,¥5.40,2018-09-01,http://product.dangdang.com/25310659.html,http://img3m9.ddimg.cn/22/32/25310659-1_l_6.jpg
做最好的自己——歪歪兔性格教育系列图画书（全10册）,歪歪兔关键期早教项目组(陈梦敏文) 编绘,歪歪兔关键期早教项目组,188692条评论,,¥40.00,¥80.00,5.0折,,2012-06-01,http://product.dangdang.com/22667891.html,http://img3m1.ddimg.cn/59/26/22667891-1_l_39.jpg
呼啸山庄（英国女作家艾米莉·勃朗特的长篇小说，一部关于爱和恨,（英）艾米莉·勃朗特　著，宋兆霖　译,艾米莉·勃朗特,123642条评论,,¥11.80,¥25.00,4.7折,¥1.99,2015-08-01,http://product.dangdang.com/23750377.html,http://img3m7.ddimg.cn/79/3/23750377-1_l_12.jpg
苦难辉煌（金一南教授授权，无删减全新修订增补版）,金一南,金一南,29036条评论,,¥59.20,¥79.00,7.5折,,2021-02-01,http://product.dangdang.com/29210070.html,http://img3m0.ddimg.cn/21/13/29210070-1_l_21.jpg
万历十五年 一本好书 腾讯视频栏目推荐,黄仁宇,黄仁宇,779104条评论,,¥15.60,¥26.00,6.0折,,2006-06-01,http://product.dangdang.com/23445575.html,http://img3m5.ddimg.cn/98/7/23445575-1_l_10.jpg
从零开始的女性主义,[日]上野千鹤子、田房永子,上野千鹤子,3976条评论,,¥26.00,¥52.00,5.0折,,2021-09-01,http://product.dangdang.com/29298862.html,http://img3m2.ddimg.cn/10/5/29298862-1_l_4.jpg
科幻世界·三体Ⅲ·死神永生（典藏版）,刘慈欣，科幻世界出品,刘慈欣,46974条评论,,¥34.50,¥48.00,7.2折,,2016-06-30,http://product.dangdang.com/23989083.html,http://img3m3.ddimg.cn/96/22/23989083-1_l_15.jpg
妈妈和我,[日]村松江梨子 中川碧 绘著,村松江梨子,8307条评论,,¥20.80,¥52.00,4.0折,,2018-08-01,http://product.dangdang.com/25292350.html,http://img3m0.ddimg.cn/28/1/25292350-1_l_13.jpg
宫西达也超级绘本（加法超人与算术星人+狐狸爸爸笑了等全11册）,[日]宫西达也,宫西达也,311055条评论,,¥93.00,¥186.00,5.0折,,2019-02-01,http://product.dangdang.com/26912902.html,http://img3m2.ddimg.cn/49/27/26912902-1_l_3.jpg
Python编程 从入门到实践 第2版,[美]埃里克·马瑟斯（Eric Matthes）,埃里克·马瑟斯,205655条评论,,¥105.10,¥109.80,9.6折,,2021-05-01,http://product.dangdang.com/29280602.html,http://img3m2.ddimg.cn/65/23/29280602-1_l_10.jpg
天真生活（季羡林精品散文精选。季羡林一生自在的活法。贾平凹、,季羡林 著，文通天下 出品,季羡林,17479条评论,,¥24.50,¥49.00,5.0折,¥14.90,2020-08-01,http://product.dangdang.com/28983780.html,http://img3m0.ddimg.cn/45/15/28983780-1_l_16.jpg
一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,歪歪兔关键期早教 项目组编绘,歪歪兔关键期早教,234695条评论,,¥44.59,¥128.00,3.5折,,2019-04-30,http://product.dangdang.com/27854383.html,http://img3m3.ddimg.cn/40/6/27854383-1_l_161.jpg
